------ Sensor Log Start -------------
01:01:00:00 2066 1525 1364 1503
01:00:50:00 2068 1524 1373 1510
01:00:40:00 2065 1526 1370 1506
01:00:30:00 2053 1526 1376 1502
01:00:20:00 2067 1529 1376 1503
01:00:10:00 2069 1523 1376 1501
01:00:00:00 2072 1525 1371 1502
00:23:50:00 2073 1525 1381 1496
00:23:40:00 2084 1524 1383 1492
00:23:30:00 2069 1523 1376 1496
00:23:20:00 2075 1522 1377 1494
00:23:10:00 2081 1517 1382 1500
00:23:00:00 2037 1521 1385 1490
00:22:50:00 2043 1520 1383 1489
00:22:40:00 2041 1522 1382 1491
00:22:30:00 2045 1520 1386 1493
00:22:20:00 2048 1524 1383 1488
00:22:10:00 2056 1523 1385 1489
00:22:00:00 2048 1526 1385 1486
00:21:50:00 2059 1525 1387 1485
00:21:40:00 2051 1521 1391 1488
00:21:30:00 2056 1522 1393 1480
00:21:20:00 2057 1520 1387 1483
00:21:10:00 2168 1523 1395 1476
00:21:00:00 2164 1523 1392 1478
00:20:50:00 2169 1522 1393 1484
00:20:40:00 2166 1523 1390 1472
00:20:30:00 2163 1512 1396 1473
00:20:20:00 2176 1523 1395 1470
00:20:10:00 2168 1523 1392 1470
00:20:00:00 2165 1521 1397 1470
00:19:50:00 2170 1514 1390 1468
00:19:40:00 2172 1520 1396 1464
00:19:30:00 2168 1518 1396 1467
00:19:20:00 2174 1520 1396 1462
00:19:10:00 2174 1516 1397 1452
00:19:00:00 2171 1520 1395 1451
00:18:50:00 2172 1517 1394 1455
00:18:40:00 2180 1518 1394 1448
00:18:30:00 2180 1512 1395 1441
00:18:20:00 2169 1522 1390 1441
00:18:10:00 2169 1508 1395 1431
00:18:00:00 2175 1501 1395 1431
00:17:50:00 2178 1502 1394 1434
00:17:40:00 2172 1501 1395 1428
00:17:30:00 2179 1496 1395 1423
00:17:20:00 2176 1499 1394 1420
00:17:10:00 2178 1490 1393 1411
00:17:00:00 2179 1488 1389 1407
00:16:50:00 2169 1485 1391 1404
00:16:40:00 2175 1490 1392 1391
00:16:30:00 2170 1479 1388 1389
00:16:20:00 2174 1477 1390 1373
00:16:10:00 2180 1476 1382 1358
00:16:00:00 2174 1473 1381 1358
00:15:50:00 2171 1465 1379 1337
00:15:40:00 2184 1468 1378 1330
00:15:30:00 2176 1466 1387 1315
00:15:20:00 2182 1461 1418 1328
00:15:10:00 2186 1456 1422 1289
00:15:00:00 2177 1456 1419 1231
00:14:50:00 2189 1452 1430 1773
00:14:40:00 2181 1446 1383 1713
00:14:30:00 2166 1434 1385 1728
00:14:20:00 2180 1442 1388 1714
00:14:10:00 2186 1437 1383 1703
00:14:00:00 2171 1420 1357 1684
00:13:50:00 2166 1416 1357 1683
00:13:40:00 2163 1408 1356 1677
00:13:30:00 2165 1405 1353 1676
00:13:20:00 2171 1407 1353 1677
00:13:10:00 2176 1401 1351 1676
00:13:00:00 2189 1408 1353 1675
00:12:50:00 2176 1396 1352 1668
00:12:40:00 2179 1392 1346 1665
00:12:30:00 2188 1403 1362 1664
00:12:20:00 2197 1391 1344 1650
00:12:10:00 2185 1387 1345 1653
00:12:00:00 2179 1373 1336 1646
00:11:50:00 2183 1370 1348 1650
00:11:40:00 2166 1368 1337 1629
00:11:30:00 2168 1359 1334 1624
00:11:20:00 2157 1356 1332 1619
00:11:10:00 2151 1348 1331 1615
00:11:00:00 2075 1337 1323 1607
00:10:50:00 2074 1333 1318 1618
00:10:40:00 2058 1329 1315 1597
00:10:30:00 2064 1320 1307 1595
00:10:20:00 2060 1311 1302 1586
00:10:10:00 2060 1315 1303 1581
00:10:00:00 2053 1303 1303 1569
00:09:50:00 2044 1299 1300 1564
00:09:40:00 2120 1290 1292 1579
00:09:30:00 2122 1290 1292 1588
00:09:20:00 2122 1284 1284 1593
00:09:10:00 2117 1292 1283 1306
00:09:00:00 2041 1281 1284 1740
00:08:50:00 2030 1269 1273 1744
00:08:40:00 2026 1269 1278 1736
00:08:30:00 2015 1265 1283 1741
00:08:20:00 2023 1269 1281 1727
00:08:10:00 2022 1260 1276 1719
00:08:00:00 2020 1247 1279 1711
00:07:50:00 2015 1256 1271 1716
00:07:40:00 2018 1248 1272 1708
00:07:30:00 2006 1245 1276 1705
00:07:20:00 2020 1243 1272 1719
00:07:10:00 1998 1242 1277 1696
00:07:00:00 1999 1243 1271 1706
00:06:50:00 2007 1243 1272 1699
00:06:40:00 1997 1259 1272 1710
00:06:30:00 1997 1248 1270 1702
00:06:20:00 2016 1245 1273 1701
00:06:10:00 2021 1242 1273 1702
00:06:00:00 2026 1244 1277 1699
00:05:50:00 2021 1245 1270 1700
00:05:40:00 2022 1240 1271 1702
00:05:30:00 2010 1242 1278 1692
00:05:20:00 2020 1246 1280 1700
00:05:10:00 2008 1236 1276 1699
00:05:00:00 2017 1234 1277 1701
00:04:50:00 2020 1238 1277 1696
00:04:40:00 1996 1237 1276 1698
00:04:30:00 2007 1238 1274 1695
00:04:20:00 1995 1234 1274 1695
00:04:10:00 2007 1237 1281 1694
00:04:00:00 2008 1235 1279 1712
00:03:50:00 2017 1229 1283 1695
00:03:40:00 2009 1232 1282 1697
00:03:30:00 2001 1234 1280 1693
00:03:20:00 2013 1231 1284 1696
00:03:10:00 2012 1229 1283 1693
00:03:00:00 2006 1221 1279 1687
00:02:50:00 2007 1224 1286 1685
00:02:40:00 2015 1226 1292 1692
00:02:30:00 2015 1217 1293 1689
00:02:20:00 2020 1211 1291 1687
00:02:10:00 2023 1215 1292 1690
00:02:00:00 2015 1216 1291 1688
00:01:50:00 2022 1213 1293 1688
00:01:40:00 2019 1209 1294 1678
00:01:30:00 2028 1196 1294 1690
00:01:20:00 2023 1202 1290 1685
00:01:10:00 2023 1198 1296 1683
00:01:00:00 2023 1193 1297 1677
00:00:50:00 2028 1183 1298 1690
00:00:40:00 2025 1183 1300 1678
00:00:30:00 2024 1173 1303 1690
00:00:20:00 2034 1168 1303 1683
00:00:10:00 2033 1158 1299 1687
